+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| spell_id |       spell_name       | level | casting_time |   duration    |  school   |       range        |                          components                          |                         description                          |                        upcast_effect                         | concentration | ritual |
|          |                        |       |              |               |           |                    |                                                              | make a Constitution saving throw. On a failed save, a creatu |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | re takes 10d6 cold damage. On a successful save, it takes ha |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | lf as much damage.If the globe strikes a body of water or a  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | liquid that is principally water (not including water-based  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | creatures), it freezes the liquid to a depth of 6 inches ove |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | r an area 30 feet square. This ice lasts for 1 minute. Creat |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ures that were swimming on the surface of frozen water are t |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | rapped in the ice. A trapped creature can use an action to m |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ake a Strength check against your spell save DC to break fre |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | e.You can refrain from firing the globe after completing the |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  spell, if you wish. A small globe about the size of a sling |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  stone, cool to the touch, appears in your hand. At any time |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | , you or a creature you give the globe to can throw the glob |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | e (to a range of 40 feet) or hurl it with a sling (to the sl |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ing's normal range). It shatters on impact, with the same ef |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | fect as the normal casting of the spell. You can also set th |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | e globe down without shattering it. After 1 minute, if the g |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | lobe hasn't already shattered, it explodes.                  |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 153      | Heal                   | 6     | Action       | Instantaneous | Evocation | 60 Ft.             | V, S                                                         | Choose a creature that you can see within range. A surge of  | When you cast this spell using a spell slot of 7th level or  | 0             | 0      |
|          |                        |       |              |               |           |                    |                                                              | positive energy washes through the creature, causing it to r | higher, the amount of healing increases by 10 for each slot  |               |        |
|          |                        |       |              |               |           |                    |                                                              | egain 70 hit points. This spell also ends blindness, deafnes | level above 6th.                                             |               |        |
|          |                        |       |              |               |           |                    |                                                              | s, and any diseases affecting the target. This spell has no  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | effect on constructs or undead.                              |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 284      | Sunbeam                | 6     | Action       | Up to 1 min.  | Evocation | Self (60-Ft. line) | V, S, M (a magnifying glass)                                 | A beam of brilliant light flashes out from your hand in a 5- |                                                              | 1             | 0      |
|          |                        |       |              |               |           |                    |                                                              | foot-wide, 60-foot-long line. Each creature in the line must |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  make a Constitution saving throw. On a failed save, a creat |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ure takes 6d8 radiant damage and is blinded until your next  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | turn. On a successful save, it takes half as much damage and |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  isn't blinded by this spell. Undead and oozes have disadvan |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | tage on this saving throw.You can create a new line of radia |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | nce as your action on any turn until the spell ends.For the  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | duration, a mote of brilliant radiance shines in your hand.  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | It sheds bright light in a 30-foot radius and dim light for  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | an additional 30 feet. This light is sunlight.               |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 307      | Wall of Ice            | 6     | Action       | Up to 10 min. | Evocation | 120 Ft.            | V, S, M (a small piece of quartz)                            | You create a wall of ice on a solid surface within range. Yo | When you cast this spell using a spell slot of 7th level or  | 1             | 0      |
|          |                        |       |              |               |           |                    |                                                              | u can form it into a hemispherical dome or a sphere with a r | higher, the damage the wall deals when it appears increases  |               |        |
|          |                        |       |              |               |           |                    |                                                              | adius of up to 10 feet, or you can shape a flat surface made | by 2d6, and the damage from passing through the sheet of fri |               |        |
|          |                        |       |              |               |           |                    |                                                              |  up of ten 10-foot-square panels. Each panel must be contigu | gid air increases by 1d6, for each slot level above 6th.     |               |        |
|          |                        |       |              |               |           |                    |                                                              | ous with another panel. In any form, the wall is 1 foot thic |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | k and lasts for the duration.If the wall cuts through a crea |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ture's space when it appears, the creature within its area i |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | s pushed to one side of the wall and must make a Dexterity s |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | aving throw. On a failed save, the creature takes 10d6 cold  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | damage, or half as much damage on a successful save.The wall |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  is an object that can be damaged and thus breached. It has  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | AC 12 and 30 hit points per 10-foot section, and it is vulne |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | rable to fire damage. Reducing a 10-foot section of wall to  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | 0 hit points destroys it and leaves behind a sheet of frigid |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  air in the space the wall occupied. A creature moving throu |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | gh the sheet of frigid air for the first time on a turn must |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  make a Constitution saving throw. That creature takes 5d6 c |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | old damage on a failed save, or half as much damage on a suc |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | cessful one.                                                 |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 16       | Arcane Sword           | 7     | Action       | Up to 1 min.  | Evocation | 60 Ft.             | V, S, M (a miniature platinum sword with a grip and pommel o | You create a sword-shaped plane of force that hovers within  |                                                              | 1             | 0      |
|          |                        |       |              |               |           |                    | f copper and zinc, worth 250 gp)                             | range. It lasts for the duration.When the sword appears, you |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  make a melee spell attack against a target of your choice w |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ithin 5 feet of the sword. On a hit, the target takes 3d10 f |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | orce damage. Until the spell ends, you can use a bonus actio |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | n on each of your turns to move the sword up to 20 feet to a |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  spot you can see and repeat this attack against the same ta |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | rget or a different one.                                     |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 75       | Delayed Blast Fireball | 7     | Action       | Up to 1 min.  | Evocation | 150 Ft.            | V, S, M (a tiny ball of bat guano and sulfur)                | A beam of yellow light flashes from your pointing finger, th | When you cast this spell using a spell slot of 8th level or  | 1             | 0      |
|          |                        |       |              |               |           |                    |                                                              | en condenses to linger at a chosen point within range as a g | higher, the base damage increases by 1d6 for each slot level |               |        |
|          |                        |       |              |               |           |                    |                                                              | lowing bead for the duration. When the spell ends, either be |  above 7th.                                                  |               |        |
|          |                        |       |              |               |           |                    |                                                              | cause your concentration is broken or because you decide to  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | end it, the bead blossoms with a low roar into an explosion  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | of flame that spreads around corners. Each creature in a 20- |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | foot-radius sphere centered on that point must make a Dexter |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ity saving throw. A creature takes fire damage equal to the  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | total accumulated damage on a failed save, or half as much d |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | amage on a successful one.The spell's base damage is 12d6. I |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | f at the end of your turn the bead has not yet detonated, th |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | e damage increases by 1d6.If the glowing bead is touched bef |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ore the interval has expired, the creature touching it must  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | make a Dexterity saving throw. On a failed save, the spell e |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | nds immediately, causing the bead to erupt in flame. On a su |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ccessful save, the creature can throw the bead up to 40 feet |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | . When it strikes a creature or a solid object, the spell en |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ds, and the bead explodes.The fire damages objects in the ar |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ea and ignites flammable objects that aren't being worn or c |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | arried.                                                      |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 118      | Fire Storm             | 7     | Action       | Instantaneous | Evocation | 150 Ft.            | V, S                                                         | A storm made up of sheets of roaring flame appears in a loca |                                                              | 0             | 0      |
|          |                        |       |              |               |           |                    |                                                              | tion you choose within range. The area of the storm consists |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  of up to ten 10-foot cubes, which you can arrange as you wi |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | sh. Each cube must have at least one face adjacent to the fa |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ce of another cube. Each creature in the area must make a De |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | xterity saving throw. It takes 7d10 fire damage on a failed  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | save, or half as much damage on a successful one.The fire da |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | mages objects in the area and ignites flammable objects that |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  aren't being worn or carried. If you choose, plant life in  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | the area is unaffected by this spell.                        |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 128      | Forcecage              | 7     | Action       | 1 hr.         | Evocation | 100 Ft.            | V, S, M (ruby dust worth 1,500 gp)                           | An immobile, invisible, cube-shaped prison composed of magic |                                                              | 0             | 0      |
|          |                        |       |              |               |           |                    |                                                              | al force springs into existence around an area you choose wi |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | thin range. The prison can be a cage or a solid box as you c |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | hoose.A prison in the shape of a cage can be up to 20 feet o |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | n a side and is made from 1/2-inch diameter bars spaced 1/2  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | inch apart.A prison in the shape of a box can be up to 10 fe |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | et on a side, creating a solid barrier that prevents any mat |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ter from passing through it and blocking any spells cast int |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | o or out from the area.When you cast the spell, any creature |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  that is completely inside the cage's area is trapped. Creat |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ures only partially within the area, or those too large to f |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | it inside the area, are pushed away from the center of the a |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | rea until they are completely outside the area.A creature in |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | side the cage can't leave it by nonmagical means. If the cre |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ature tries to use teleportation or interplanar travel to le |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ave the cage, it must first make a Charisma saving throw. On |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  a success, the creature can use that magic to exit the cage |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | . On a failure, the creature can't exit the cage and wastes  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | the use of the spell or effect. The cage also extends into t |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | he Ethereal Plane, blocking ethereal travel.This spell can't |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  be dispelled by dispel magic.                               |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 228      | Prismatic Spray        | 7     | Action       | Instantaneous | Evocation | Self (60-Ft. cone) | V, S                                                         | Eight multicolored rays of light flash from your hand. Each  |                                                              | 0             | 0      |
|          |                        |       |              |               |           |                    |                                                              | ray is a different color and has a different power and purpo |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | se. Each creature in a 60-foot cone must make a Dexterity sa |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ving throw. For each target, roll a d8 to determine which co |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | lor ray affects it. 1-Red. The target takes 10d6 fire damage |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  on a failed save, or half as much damage on a successful on |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | e. 2-Orange. The target takes 10d6 acid damage on a failed s |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ave, or half as much damage on a successful one. 3-Yellow. T |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | he target takes 10d6 lightning damage on a failed save, or h |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | alf as much damage on a successful one. 4-Green. The target  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | takes 10d6 poison damage on a failed save, or half as much d |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | amage on a successful one. 5-Blue. The target takes 10d6 col |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | d damage on a failed save, or half as much damage on a succe |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ssful one. 6-Indigo. On a failed save, the target is restrai |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ned. It must then make a Constitution saving throw at the en |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | d of each of its turns. If it successfully saves three times |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | , the spell ends. If it fails its save three times, it perma |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | nently turns to stone and is subjected to the petrified cond |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ition. The successes and failures don't need to be consecuti |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ve, keep track of both until the target collects three of a  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | kind. 7-Violet. On a failed save, the target is blinded. It  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | must then make a Wisdom saving throw at the start of your ne |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | xt turn. A successful save ends the blindness. If it fails t |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | hat save, the creature is transported to another plane of ex |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | istence of the DM's choosing and is no longer blinded. (Typi |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | cally, a creature that is on a plane that isn't its home pla |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ne is banished home, while other creatures are usually cast  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | into the Astral or Ethereal planes.) 8-Special. The target i |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | s struck by two rays. Roll twice more, rerolling any 8.      |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 94       | Earthquake             | 8     | Action       | Up to 1 min.  | Evocation | 500 Ft.            | V, S, M (a pinch of dirt, a piece of rock, and a lump of cla | You create a seismic disturbance at a point on the ground th |                                                              | 1             | 0      |
|          |                        |       |              |               |           |                    | y)                                                           | at you can see within range. For the duration, an intense tr |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | emor rips through the ground in a 100-foot-radius circle cen |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | tered on that point and shakes creatures and structures in c |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ontact with the ground in that area.The ground in the area b |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ecomes difficult terrain. Each creature on the ground that i |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | s concentrating must make a Constitution saving throw. On a  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | failed save, the creature's concentration is broken.When you |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  cast this spell and at the end of each turn you spend conce |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ntrating on it, each creature on the ground in the area must |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  make a Dexterity saving throw. On a failed save, the creatu |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | re is knocked prone.This spell can have additional effects d |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | epending on the terrain in the area, as determined by the DM |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | . Fissures. Fissures open throughout the spell's area at the |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  start of your next turn after you cast the spell. A total o |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | f 1d6 such fissures open in locations chosen by the DM. Each |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  is 1d10 × 10 feet deep, 10 feet wide, and extends from one  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | edge of the spell's area to the opposite side. A creature st |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | anding on a spot where a fissure opens must succeed on a Dex |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | terity saving throw or fall in. A creature that successfully |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  saves moves with the fissure's edge as it opens.A fissure t |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | hat opens beneath a structure causes it to automatically col |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | lapse (see below). Structures. The tremor deals 50 bludgeoni |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ng damage to any structure in contact with the ground in the |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  area when you cast the spell and at the start of each of yo |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ur turns until the spell ends. If a structure drops to 0 hit |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  points, it collapses and potentially damages nearby creatur |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | es. A creature within half the distance of a structure's hei |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ght must make a Dexterity saving throw. On a failed save, th |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | e creature takes 5d6 bludgeoning damage, is knocked prone, a |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | nd is buried in the rubble, requiring a DC 20 Strength (Athl |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | etics) check as an action to escape. The DM can adjust the D |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | C higher or lower, depending on the nature of the rubble. On |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  a successful save, the creature takes half as much damage a |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | nd doesn't fall prone or become buried.                      |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 285      | Sunburst               | 8     | Action       | Instantaneous | Evocation | 150 Ft.            | V, S, M (fire and a piece of sunstone)                       | Brilliant sunlight flashes in a 60-foot radius centered on a |                                                              | 0             | 0      |
|          |                        |       |              |               |           |                    |                                                              |  point you choose within range. Each creature in that light  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | must make a Constitution saving throw. On a failed save, a c |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | reature takes 12d6 radiant damage and is blinded for 1 minut |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | e. On a successful save, it takes half as much damage and is |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | n't blinded by this spell. Undead and oozes have disadvantag |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | e on this saving throw.A creature blinded by this spell make |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | s another Constitution saving throw at the end of each of it |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | s turns. On a successful save, it is no longer blinded.This  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | spell dispels any darkness in its area that was created by a |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  spell.                                                      |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 196      | Mass Heal              | 9     | Action       | Instantaneous | Evocation | 60 Ft.             | V, S                                                         | A flood of healing energy flows from you into injured creatu |                                                              | 0             | 0      |
|          |                        |       |              |               |           |                    |                                                              | res around you. You restore up to 700 hit points, divided as |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  you choose among any number of creatures that you can see w |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ithin range. Creatures healed by this spell are also cured o |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | f all diseases and any effect making them blinded or deafene |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | d. This spell has no effect on undead or constructs.         |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 203      | Meteor Swarm           | 9     | Action       | Instantaneous | Evocation | 1 Mi.              | V, S                                                         | Blazing orbs of fire plummet to the ground at four different |                                                              | 0             | 0      |
|          |                        |       |              |               |           |                    |                                                              |  points you can see within range. Each creature in a 40-foot |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | -radius sphere centered on each point you choose must make a |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              |  Dexterity saving throw. The sphere spreads around corners.  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | A creature takes 20d6 fire damage and 20d6 bludgeoning damag |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | e on a failed save, or half as much damage on a successful o |                                                              |               |        |
